,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,188.0,78.0,91.0,98.0,136.0,146.0,176.0,220.0,310.0,402.0,496.0,618.0,736.0,1094.0,1530.0,2057.0,2863.0,3709.0,4766.0,6174.0,7716.0,9916.0,12326.0,15003.0,18741.0,24123.0,31789.0,41322.0,49982.0,53332.0,
1,0.0,0.03333333333333333,0.06666666666666667,0.1,0.13333333333333333,0.16666666666666666,0.2,0.23333333333333334,0.26666666666666666,0.3,0.3333333333333333,0.36666666666666664,0.4,0.43333333333333335,0.4666666666666667,0.5,0.5333333333333333,0.5666666666666667,0.6,0.6333333333333333,0.6666666666666666,0.7,0.7333333333333333,0.7666666666666666,0.8,0.8333333333333334,0.8666666666666667,0.9,0.9333333333333333,0.9666666666666667,1.0
2,"Rectangle(xy=(-3.46945e-18, 0), width=0.0333333, height=188, angle=0)","Rectangle(xy=(0.0333333, 0), width=0.0333333, height=78, angle=0)","Rectangle(xy=(0.0666667, 0), width=0.0333333, height=91, angle=0)","Rectangle(xy=(0.1, 0), width=0.0333333, height=98, angle=0)","Rectangle(xy=(0.133333, 0), width=0.0333333, height=136, angle=0)","Rectangle(xy=(0.166667, 0), width=0.0333333, height=146, angle=0)","Rectangle(xy=(0.2, 0), width=0.0333333, height=176, angle=0)","Rectangle(xy=(0.233333, 0), width=0.0333333, height=220, angle=0)","Rectangle(xy=(0.266667, 0), width=0.0333333, height=310, angle=0)","Rectangle(xy=(0.3, 0), width=0.0333333, height=402, angle=0)","Rectangle(xy=(0.333333, 0), width=0.0333333, height=496, angle=0)","Rectangle(xy=(0.366667, 0), width=0.0333333, height=618, angle=0)","Rectangle(xy=(0.4, 0), width=0.0333333, height=736, angle=0)","Rectangle(xy=(0.433333, 0), width=0.0333333, height=1094, angle=0)","Rectangle(xy=(0.466667, 0), width=0.0333333, height=1530, angle=0)","Rectangle(xy=(0.5, 0), width=0.0333333, height=2057, angle=0)","Rectangle(xy=(0.533333, 0), width=0.0333333, height=2863, angle=0)","Rectangle(xy=(0.566667, 0), width=0.0333333, height=3709, angle=0)","Rectangle(xy=(0.6, 0), width=0.0333333, height=4766, angle=0)","Rectangle(xy=(0.633333, 0), width=0.0333333, height=6174, angle=0)","Rectangle(xy=(0.666667, 0), width=0.0333333, height=7716, angle=0)","Rectangle(xy=(0.7, 0), width=0.0333333, height=9916, angle=0)","Rectangle(xy=(0.733333, 0), width=0.0333333, height=12326, angle=0)","Rectangle(xy=(0.766667, 0), width=0.0333333, height=15003, angle=0)","Rectangle(xy=(0.8, 0), width=0.0333333, height=18741, angle=0)","Rectangle(xy=(0.833333, 0), width=0.0333333, height=24123, angle=0)","Rectangle(xy=(0.866667, 0), width=0.0333333, height=31789, angle=0)","Rectangle(xy=(0.9, 0), width=0.0333333, height=41322, angle=0)","Rectangle(xy=(0.933333, 0), width=0.0333333, height=49982, angle=0)","Rectangle(xy=(0.966667, 0), width=0.0333333, height=53332, angle=0)",
