,0
0,0.8697710825670302
1,0.7974176005033448
2,0.6682520484698764
3,0.8157582365549136
4,0.546645952826744
5,0.4954853396146535
6,0.7733958764418415
7,0.7733150714250697
8,0.8010583377454119
9,0.6052572432889249
10,0.7947188831040412
11,0.6544870496035189
12,0.7366191017522288
13,0.7797045411763885
14,0.7029680660128618
15,0.735072814414612
16,0.5598085842486309
17,0.742466609434887
18,0.7525621458359949
19,0.769742387900694
20,0.5784893301746717
21,0.7546315300766414
22,0.6735675740256252
23,0.7005892900176688
24,0.7341659775204616
25,0.7075786469268383
26,0.6590430247630041
27,0.6323983149281815
28,0.6205992792496137
29,0.5966574475682582
30,0.6709298479995462
31,0.6677185898422233
32,0.6181619594625927
33,0.35400140365686394
34,0.4757530938403152
35,0.6057840354459085
36,0.5229067536105048
37,0.4202951731806543
38,0.453957764139643
39,0.42291509492240037
40,0.4439563024060903
41,0.4520544081167016
42,0.4758238372672685
43,0.4757951807377174
44,0.4682309532239013
45,0.41651498921774116
46,0.4264167569895138
47,0.40505859966320323
48,0.42382397803413113
49,0.4305478749083131
50,0.4166546751905333
51,0.4200189568513202
52,0.2566541646247382
53,0.35614349583715044
54,0.3665957365332651
55,0.37094211793681314
56,0.28922467984439354
57,0.38039912657627245
58,0.21731387155157697
59,0.11892833687116194
60,0.0
61,0.8232454898753655
62,0.7552718377826543
63,0.8549207539121185
64,0.8150684224213727
65,0.5850289456700923
66,0.7582493447975339
67,0.5585905010605482
68,0.7275993682683032
69,0.5537072849636507
70,0.5636913240635129
71,0.747236642063213
72,0.4886807659667239
73,0.4713160544272372
74,0.41451889744820547
75,0.630450885320637
76,0.6897653323465155
77,0.5632702631608255
78,0.5932135745499669
79,0.24351181682284453
80,0.5086589398987085
81,0.5825212921247264
82,0.6196884790018812
83,0.26982125321684874
84,0.28091638620971426
85,0.5948562857119251
86,0.27944254262145035
87,0.2903289944508334
88,0.5974607472429396
89,0.5116429893189667
90,0.5654387281171483
91,0.40323850276312034
92,0.4464151057389649
93,0.4226168029261345
94,0.4682819452987889
95,0.3957411606588195
96,0.3841421161796483
97,0.34216245964398495
98,0.2660725728920689
99,0.36053624760558334
100,0.32481687215008653
101,0.36647939205435465
102,0.36901053119580685
103,0.6180701921736007
104,0.5770623365015918
105,0.3463427594805817
